ejectFrom,measureFrom,plane,messageCount
4.35, 0.147, 10, 0
4.35, 0.147, 10, 0
4.35, 0.147, 10, 0
4.35, 0.147, 10, 0
4.35, 0.147, 10, 0
4.35, 0.147, 10, 0
4.35, 0.147, 10, 0
4.35, 0.147, 10, 0
4.35, 0.147, 10, 0
4.35, 0.147, 10, 0
4.36455, 0.132455, 10, 0
4.36455, 0.132455, 10, 0
4.36455, 0.132455, 10, 0
4.36455, 0.132455, 10, 0
4.36455, 0.132455, 10, 0
4.36455, 0.132455, 10, 0
4.36455, 0.132455, 10, 0
4.36455, 0.132455, 10, 0
4.36455, 0.132455, 10, 0
4.36455, 0.132455, 10, 0
4.37909, 0.117909, 10, 0
4.37909, 0.117909, 10, 0
4.37909, 0.117909, 10, 0
4.37909, 0.117909, 10, 0
4.37909, 0.117909, 10, 0
4.37909, 0.117909, 10, 0
4.37909, 0.117909, 10, 0
4.37909, 0.117909, 10, 0
4.37909, 0.117909, 10, 0
4.37909, 0.117909, 10, 0
4.39364, 0.103364, 10, 0
4.39364, 0.103364, 10, 0
4.39364, 0.103364, 10, 0
4.39364, 0.103364, 10, 0
4.39364, 0.103364, 10, 0
4.39364, 0.103364, 10, 0
4.39364, 0.103364, 10, 0
4.39364, 0.103364, 10, 0
4.39364, 0.103364, 10, 0
4.39364, 0.103364, 10, 0
4.40818, 0.0888182, 10, 0
4.40818, 0.0888182, 10, 0
4.40818, 0.0888182, 10, 0
4.40818, 0.0888182, 10, 0
4.40818, 0.0888182, 10, 0
4.40818, 0.0888182, 10, 0
4.40818, 0.0888182, 10, 0
4.40818, 0.0888182, 10, 0
4.40818, 0.0888182, 10, 0
4.40818, 0.0888182, 10, 0
4.42273, 0.0742727, 10, 0
4.42273, 0.0742727, 10, 0
4.42273, 0.0742727, 10, 0
4.42273, 0.0742727, 10, 0
4.42273, 0.0742727, 10, 0
4.42273, 0.0742727, 10, 0
4.42273, 0.0742727, 10, 0
4.42273, 0.0742727, 10, 0
4.42273, 0.0742727, 10, 0
4.42273, 0.0742727, 10, 0
4.43727, 0.0597273, 10, 0
4.43727, 0.0597273, 10, 0
4.43727, 0.0597273, 10, 0
4.43727, 0.0597273, 10, 0
4.43727, 0.0597273, 10, 0
4.43727, 0.0597273, 10, 0
4.43727, 0.0597273, 10, 0
4.43727, 0.0597273, 10, 0
4.43727, 0.0597273, 10, 0
4.43727, 0.0597273, 10, 0
4.45182, 0.0451818, 10, 0
4.45182, 0.0451818, 10, 0
4.45182, 0.0451818, 10, 0
4.45182, 0.0451818, 10, 0
4.45182, 0.0451818, 10, 0
4.45182, 0.0451818, 10, 0
4.45182, 0.0451818, 10, 0
4.45182, 0.0451818, 10, 0
4.45182, 0.0451818, 10, 0
4.45182, 0.0451818, 10, 0
4.46636, 0.0306364, 10, 0
4.46636, 0.0306364, 10, 0
4.46636, 0.0306364, 10, 0
4.46636, 0.0306364, 10, 0
4.46636, 0.0306364, 10, 0
4.46636, 0.0306364, 10, 0
4.46636, 0.0306364, 10, 0
4.46636, 0.0306364, 10, 0
4.46636, 0.0306364, 10, 0
4.46636, 0.0306364, 10, 0
4.48091, 0.0160909, 10, 0
4.48091, 0.0160909, 10, 0
4.48091, 0.0160909, 10, 0
4.48091, 0.0160909, 10, 0
4.48091, 0.0160909, 10, 0
4.48091, 0.0160909, 10, 0
4.48091, 0.0160909, 10, 0
4.48091, 0.0160909, 10, 0
4.48091, 0.0160909, 10, 0
4.48091, 0.0160909, 10, 0
